Fleet No,Operational Status,LFB ,Make,Model,Type of Vehicle,Vehicle Category,Reg Year,Vehicle Life
CH839,ACTIVE,LFB,Mitsubishi,RX1 Outlander Juro PHEV Auto,Car,M1,2019,5
CSU1,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2006,12
CSU2,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2006,12
CSU3,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU4,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU5,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU6,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU7,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU8,ACTIVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
CSU9,RESERVE,LFB,Mercedes,1223nR,Command Support Unit,N2,2007,12
DIM101,ACTIVE,LFB,Iveco,Daily,Detection Identification and Monitoring,N2,2009,10
DPL1213,ACTIVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1263,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1272LG,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1273,TRAINING,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL1308LG,RESERVE,LFB,Mercedes,Atego 1325F,Pumping Appliance,N3,2007,12
DPL150,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2016,12
DPL151,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL152,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL153,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL154,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL155,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL156,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL157,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL158,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL159,TRAINING,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL160,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL161,ACTIVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL162,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL163,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL164,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL165,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL166,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL167,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL168,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL169,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL170,RESERVE,LFB,Mercedes Benz,Atego 1327,Pumping Appliance,N3,2017,12
DPL171,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL172,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL173,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL174,RESERVE,LFB,Mercedes Benz,Atego ,Pumping Appliance,N3,2017,12
DPL175,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL176,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL177,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL178,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL179,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL180,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL181,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL182,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL183,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL184,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL185,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL186,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL187,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL188,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL189,RESERVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL190,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3 ,2017,12
DPL191,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL192,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL193,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL194,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL195,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL196,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL197,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL198,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL199,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL200,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL201,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL202,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2017,12
DPL203,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL204,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL205,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL206,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL207,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL208,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL209,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL210,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL211,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL212,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL213,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL214,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL215,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL216,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL217,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL218,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL219,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL220,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL221,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL222,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL223,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL224,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL225,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL226,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL227,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL228,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL229,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL230,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL231,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL232,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL233,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL234,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL235,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL237,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL238,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL239,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL240,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL241,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL242,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL243,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL244,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL245,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL246,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL247,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL248,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL249,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL250,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL251,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL252,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL253,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL254,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL255,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL256,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL257,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL258,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL259,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL260,PENDING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL261,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL262,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL263,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL264,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL265,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL266,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL267,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL268,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL269,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL270,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL271,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL272,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL273,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL274,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL275,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL276,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL277,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL278,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL279,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL280,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL281,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL282,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL283,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL284,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL285,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL286,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL287,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL288,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL289,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL290,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL291,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL292,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL293,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL294,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL295,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL296,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL297,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL298,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL299,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL300,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL301,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL302,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL303,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL304,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL305,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL306,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL307,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL308,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL309,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL310,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL311,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL312,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL313,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL314,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL315,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL316,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL317,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL318,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL319,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL320,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL321,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL322,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL323,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL324,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL325,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL326,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL327,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL328,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL329,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL330,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL331,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL332,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2021,12
DPL333,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2018,12
DPL334,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL335,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2019,12
DPL336,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL337,TRAINING,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2020,12
DPL338,ACTIVE,LFB,Mercedes Benz,Atego,Pumping Appliance,N3,2021,12
FID3,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Dog Van,N1,2018,7
FireDart,ACTIVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
Fireflash,RESERVE,LFB,Alnmaritec,Landing Craft,FireBoat,Vessel,2001,20
FIV10,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV11,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV7,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 ,Fire Investigation Unit,N1,2018,7
FIV8,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FIV9,ACTIVE,LFB,Ford,Transit Custom 310 Trend L2 M ,Fire Investigation Unit,N1,2018,7
FLT01,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2009,12
FLT02,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2009,12
FLT03,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2010,12
FLT04,ACTIVE,LFB,Moffett,Mounty,Fork Lift Truck,Plant,2010,12
FRU10,RESERVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU11,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU12,RESERVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU13,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2004,12
FRU15,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU16,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU17,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU18,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU19,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2005,12
FRU20,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU21,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU22,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU23,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU24,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU25,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU26,ACTIVE,LFB,Mercedes,Atego 1325F,Fire Rescue Unit,N2,2007,12
FRU27,TRAINING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU28,RESERVE,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU29,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU30,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU31,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU32,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU33,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU34,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU35,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU36,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU37,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU38,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
FRU39,PENDING,LFB,Mercedes Benz,Atego 1527F,Fire Rescue Unit,N3,2021,12
